gc,cost,soc,UHFtaken,L1taken,L2taken,Xtaken,sunActive
False,0,False,0,0,,1,
False,0,False,0,1,,1,
False,0,False,1,1,,1,
False,0,False,2,1,,1,
False,0,False,3,1,,1,
False,0,False,4,1,,1,
False,0,False,5,1,,1,
False,0,False,6,1,,1,
False,0,False,7,1,,1,
False,0,False,8,1,,1,
False,0,False,9,1,,1,
False,0,False,10,1,,1,
False,0,False,11,1,,1,
False,0,False,12,1,,1,
False,0,False,13,1,,1,
False,0,False,14,1,,1,
False,0,False,15,1,,1,
False,0,False,16,1,,1,
False,0,False,17,1,,1,
False,0,False,18,1,,1,
False,0,False,19,1,,1,
False,0,False,20,1,,1,
False,0,False,20,1,,2,
True,0,False,20,1,,3,
True,0,True,20,2,,3,
